Review Title,Rating,Review Body,Review Date,cleaned_body,Sentiment
CPU cooler fan blade broken,1.0 out of 5 stars,Once it delivered... I unboxed the processor it has a broken blade...,23 January 2024,delivered ... unboxed processor broken blade ...,Negative
"PERFORMANCE, QUALITY",5.0 out of 5 stars,"Performance , Quality, Speed ,Value for Money  is  Good",1 November 2023,"Performance , Quality , Speed , Value Money Good",Positive
i3 12th gen processor intel,5.0 out of 5 stars,"Mast is brother, take working this good.",20 October 2023,"Mast brother , take working good .",Positive
graphics very bad.,1.0 out of 5 stars,"Can't launch even a small game, hangs all the time.  But it's with graphics processor but graphics doesn't work properly.  It is with graphics processor in name only.",14 September 2023,"Ca n't launch even small game , hangs time . 's graphics processor graphics n't work properly . graphics processor name .",Neutral
Good for regular use in office of home,5.0 out of 5 stars,Working fine,28 June 2023,Working fine,Positive
Just Excellent,4.0 out of 5 stars,Better than 10th gen I5 10600.What fo you ask for?Motherboards are really pricey now a days.,4 June 2023,Better 10th gen I5 10600.What fo ask ? Motherboards really pricey days .,Positive
Perfect for beginners,5.0 out of 5 stars,"Those who are looking for budget processor for 'basic use' , they can go for it. This processor is perfect for them.  simply don't waste your money on high end processor , which may not required for your work.",21 October 2022,"looking budget processor 'basic use ' , go . processor perfect . simply n't waste money high end processor , may required work .",Positive
Very powerfull processor!! This one comes with 730 uhd graphics,5.0 out of 5 stars,This processor can run gta 5 at 29-30 fps with 8gb Ram and no graphics card!,11 September 2022,processor run gta 5 29-30 fps 8gb Ram graphics card !,Negative
affordable gaming CPU.  marginal performance improvement .better get 12400 or 12600 for gaming,3.0 out of 5 stars,affordable gaming CPU.marginal performance improvementcompare 12100 with asus h610 & 16gb 3000mhz ram to my i3 3570 3rd gen with B75 motherboard & 8gb 1600mhz ram on PUBG 10-20 fps increase.( crucial SSD and 1660 graphic card)but smooth no lagwill install windows11 and seebetter get 12400 or 12600 for gamingor wait 13th gen i5,22 June 2022,affordable gaming CPU.marginal performance improvementcompare 12100 asus h610 & 16gb 3000mhz ram i3 3570 3rd gen B75 motherboard & 8gb 1600mhz ram PUBG 10-20 fps increase . ( crucial SSD 1660 graphic card ) smooth lagwill install windows11 seebetter get 12400 12600 gamingor wait 13th gen i5,Negative
No title,No rating,Super :-),19 May 2024,Super : - ),Positive
No title,No rating,"Great for general use and gaming, boosts nice and quick without generating too much heat. Integrated graphics are useful for when a dedicated video card isn't available.",6 May 2024,"Great general use gaming , boosts nice quick without generating much heat . Integrated graphics useful dedicated video card n't available .",Positive
No title,No rating,received in an envelope without box or fan. Used the processor like that ... in bulk,17 April 2024,received envelope without box fan . Used processor like ... bulk,Positive
No title,No rating,"I use these CPUs on an Asus mainboard for office PCs.Ideal for this purpose.Enough power at a fair price.Quality of Intel.If you want to gamen with it, you should rather use an i5 or i7.",19 March 2024,"use CPUs Asus mainboard office PCs.Ideal purpose.Enough power fair price.Quality Intel.If want gamen , rather use i5 i7 .",Positive
No title,No rating,"The Intel Core i3-12100 processor from the 12th generation brings a breath of fresh air to compact NAS systems.As an entry-level chip of the current Alder Lake architecture, it not only offers sufficient computing power for demanding server tasks, but also convinces with a very efficient energy balance. The modern hybrid design made of four performance and four efficiency corses enables always balanced operation.Demanding tasks such as video transcoding, multitasking or containerization are mastered via the fast P-cores with a high clock rate.For less complex background processes, the electricity-saving e-cores take over the job. With boost cyclists up to 4.3 GHz from the box, the i3-12100 offers enormous performance reserves for arithmetic-intensive NAS workloads such as video streaming, multimediaservices or data backup tasks.The modern Skylake architecture and 12MB intelligent cache accelerate the data sets.This significantly reduces the operating costs and noise pollution of the NAS. The Core i3-12100 proves to be an extremely versatile performance bringer for demanding home users and semi-professional-NAS systems.The perfect combination of modern functions, power and efficiency at a very attractive price.",9 March 2024,"Intel Core i3-12100 processor 12th generation brings breath fresh air compact NAS systems.As entry-level chip current Alder Lake architecture , offers sufficient computing power demanding server tasks , also convinces efficient energy balance . modern hybrid design made four performance four efficiency corses enables always balanced operation.Demanding tasks video transcoding , multitasking containerization mastered via fast P-cores high clock rate.For less complex background processes , electricity-saving e-cores take job . boost cyclists 4.3 GHz box , i3-12100 offers enormous performance reserves arithmetic-intensive NAS workloads video streaming , multimediaservices data backup tasks.The modern Skylake architecture 12MB intelligent cache accelerate data sets.This significantly reduces operating costs noise pollution NAS . Core i3-12100 proves extremely versatile performance bringer demanding home users semi-professional-NAS systems.The perfect combination modern functions , power efficiency attractive price .",Positive
No title,No rating,"Quiet processor for office. With a base power of 6OW and turbo of 89W the CPU is silent. It is obvious that if you make it go to 100 percent in Multy Core the stock fan a little feels but, to mineAcceptable notice. With Cinebench 2024 I reached 60 degrees max with an HTPC case (not exceptional Air flow) and I would say excellent!",22 January 2024,"Quiet processor office . base power 6OW turbo 89W CPU silent . obvious make go 100 percent Multy Core stock fan little feels , mineAcceptable notice . Cinebench 2024 reached 60 degrees max HTPC case ( exceptional Air flow ) would say excellent !",Positive
No title,No rating,Can do everything but I chose it for its vitualization capacities,3 January 2024,everything chose vitualization capacities,Neutral
No title,No rating,"Perfect, fast delivery",31 December 2023,"Perfect , fast delivery",Positive
No title,No rating,"If a brisk quadcore CPU is generally sufficient for you and an onboard graphic cannot damage you as a backup, then you don't need to think much here.Sparingly anyway and therefore does not heat up with cheaper coolers.If it is about the gaming, then you should see whether the respective title cannot already be called up more than 4 corses (cyberpunk, for example), then get more FPS with a 12400 6 core.",25 December 2023,"brisk quadcore CPU generally sufficient onboard graphic damage backup , n't need think much here.Sparingly anyway therefore heat cheaper coolers.If gaming , see whether respective title already called 4 corses ( cyberpunk , example ) , get FPS 12400 6 core .",Positive
No title,No rating,"Mounted, everything ok on the first shot, always a guarantee as compatibility and performance.",20 December 2023,"Mounted , everything ok first shot , always guarantee compatibility performance .",Positive
No title,No rating,All what u need for pc in 2023,2 December 2023,u need pc 2023,Neutral
No title,No rating,Great quality,1 December 2023,Great quality,Positive
No title,No rating,Powerful enough for office automation and read 4K videos,7 November 2023,Powerful enough office automation read 4K videos,Positive
No title,No rating,Everything OK,18 September 2023,Everything OK,Positive
No title,No rating,I made the exchange for an i5.I3 does not meet demand for games and software.,9 September 2023,made exchange i5.I3 meet demand games software .,Positive
No title,No rating,PC !,23 July 2023,PC !,Neutral
No title,No rating,Article in perfect condition and functioning. Traceable and very rapid insurance,13 July 2023,Article perfect condition functioning . Traceable rapid insurance,Positive
No title,No rating,"Second one of these i have purchased-good general processor with integrated graphics that performs like a  6-core,ryzen 5 5600 in gaming",12 July 2023,"Second one purchased-good general processor integrated graphics performs like 6-core , ryzen 5 5600 gaming",Positive
No title,No rating,"Do not heat (31 °) with the original Ventirad, very swift, it changes my core 2 3GHz duo bought in 2009!The best value for money at the bottom of the means of the range.Originally bought in second hand on Amazon.Quality problem, thermal paste removed, striped contact surface, reimbursed without bp.Prefer new, to avoid a unpleasant surprise.",1 July 2023,"heat ( 31 ° ) original Ventirad , swift , changes core 2 3GHz duo bought 2009 ! best value money bottom means range.Originally bought second hand Amazon.Quality problem , thermal paste removed , striped contact surface , reimbursed without bp.Prefer new , avoid unpleasant surprise .",Positive
No title,No rating,"Used to upgrade a tower with gigabyte motherboard and Corsair memory bar.The PC has restarted for the installation of drivers, it was not necessary to reinstall Windows.",12 April 2023,"Used upgrade tower gigabyte motherboard Corsair memory bar.The PC restarted installation drivers , necessary reinstall Windows .",Neutral
No title,No rating,Best price performance ratio,31 March 2023,Best price performance ratio,Positive
No title,No rating,"Extremely noisy processor.The processor's heatsink makes a crazy noise even for the lighter operations, browsing the web.The good performances are also visible in game, but the noise is deafening, often I have headphones.I had to buy a separate heatsink to be able to use it normally",30 March 2023,"Extremely noisy processor.The processor 's heatsink makes crazy noise even lighter operations , browsing web.The good performances also visible game , noise deafening , often headphones.I buy separate heatsink able use normally",Negative
No title,No rating,ä#Öjiä,30 March 2023,ä # Öjiä,Neutral
No title,No rating,Perfect corresponds to the demand,28 January 2023,Perfect corresponds demand,Positive
No title,No rating,"All very well according to my expectations.Maybe the price a little high. Thanks many, however.",13 January 2023,"well according expectations.Maybe price little high . Thanks many , however .",Future Expectations
No title,No rating,very good product,27 December 2022,good product,Positive
