Review Title,Rating,Review Body,Review Date,cleaned_body,Sentiment
Thanku,5.0 out of 5 stars,Thanku Appario you send me best cpu,1 July 2024,Thanku Appario send best cpu,Positive
Best Budget Cpu,5.0 out of 5 stars,Budget cpu for gamers and creators,26 June 2024,Budget cpu gamers creators,Neutral
A Balanced Powerhouse for Everyday Computing,5.0 out of 5 stars,It doesn't have integrated graphics,16 June 2024,n't integrated graphics,Neutral
Best CPU for Budget Ballers.,5.0 out of 5 stars,"This processor is great mid to high range budget builds, if your looking for a cpu for around 10K INR, this is the perfect choice, it has 6 Cores and 12 Threads which is quite powerful. For me, pairing it with RX 6600 gave me around 120 FPS in almost all games while playing on High Graphics. About the stock cooler, the stock cooler can definitely keep the heat away, i experienced less than 60° while gaming, although u can go for a better cooler if u prefer that, but the stock cooler will do its job.Overall 9.5/10 product.",15 June 2024,"processor great mid high range budget builds , looking cpu around 10K INR , perfect choice , 6 Cores 12 Threads quite powerful . , pairing RX 6600 gave around 120 FPS almost games playing High Graphics . stock cooler , stock cooler definitely keep heat away , experienced less 60° gaming , although u go better cooler u prefer , stock cooler job.Overall 9.5/10 product .",Positive
Got it under 10k,5.0 out of 5 stars,Try to get it under 10k and check the rankings in details sections before buying anything,14 May 2024,Try get 10k check rankings details sections buying anything,Neutral
Very Great Processor . . .,5.0 out of 5 stars,The processor was very power efficient i develop android apps and web development and for this the processor was beast and I do some little gaming with rx580 which combination was superb  with 5400mhz ddr5 memory 1 tb ssd . . .,24 April 2024,processor power efficient develop android apps web development processor beast little gaming rx580 combination superb 5400mhz ddr5 memory 1 tb ssd . . .,Positive
Nice processor under 12k,5.0 out of 5 stars,Best 👌 gaming and multitasking processor at the price of 12k for budget pc of of 80 k arround,7 April 2024,Best 👌 gaming multitasking processor price 12k budget pc 80 k arround,Positive
Highest Price to Performance processor for gaming.,5.0 out of 5 stars,"I upgrade from 9400f. The performance gain is a huge. I use cooler master hyper 212 with this and my cbinet have 3 intake 2 exhaust fan, Temp never cross 60°c even when full load stress test. The efficiency of this processor is incredible runs below 1.2 volt. It never reach 1.2v even when doing Multi core stress test.If you're building mid range PC for gaming purpose this is the cpu you should consider. At this price point there's nothing that can beat this processor.",24 March 2024,"upgrade 9400f . performance gain huge . use cooler master hyper 212 cbinet 3 intake 2 exhaust fan , Temp never cross 60°c even full load stress test . efficiency processor incredible runs 1.2 volt . never reach 1.2v even Multi core stress test.If 're building mid range PC gaming purpose cpu consider . price point 's nothing beat processor .",Positive
Faulty product,1.0 out of 5 stars,"The media could not be loaded.




Fan is not working faulty device.Suggest not to buy this from hereNo support help me 😞Very disappointed",3 March 2024,media could loaded . Fan working faulty device.Suggest buy hereNo support help 😞Very disappointed,Positive
No discrete graphics in this processor,4.0 out of 5 stars,"This will not work without graphic card, So be careful before ordering.",18 February 2024,"work without graphic card , careful ordering .",Positive
I received used product.,1.0 out of 5 stars,"Don’t buy, there’re selling used and defective product.",31 January 2024,"’ buy , ’ selling used defective product .",Negative
12400f,5.0 out of 5 stars,"It runs well for productivity tasks, 6 cores cpu is minimum requirement for smooth running any large software.",28 January 2024,"runs well productivity tasks , 6 cores cpu minimum requirement smooth running large software .",Positive
Nice,5.0 out of 5 stars,been using it since an year no problem at all can run any current AAA game can handle multi tasking mid to not very high level gaming with no problems if u have other good combination of components integrated,23 January 2024,using since year problem run current AAA game handle multi tasking mid high level gaming problems u good combination components integrated,Negative
Bang for the buck,5.0 out of 5 stars,"This is the king in Price-to-performance ratio.Paired with a 1660S, most games are giving me 90-100 FPS on high settings.",27 December 2023,"king Price-to-performance ratio.Paired 1660S , games giving 90-100 FPS high settings .",Positive
Disappointing Experience with Defective i5 Processor,1.0 out of 5 stars,"I recently purchased an i5 processor from Amazon, and unfortunately, it turned out to be defective. Despite my efforts to seek assistance from Amazon, their customer support proved unhelpful, leaving me frustrated with my hard-earned money seemingly down the drain. Disappointed with both the product and the lack of support, I advise potential buyers to exercise caution when considering this purchase.",26 December 2023,"recently purchased i5 processor Amazon , unfortunately , turned defective . Despite efforts seek assistance Amazon , customer support proved unhelpful , leaving frustrated hard-earned money seemingly drain . Disappointed product lack support , advise potential buyers exercise caution considering purchase .",Negative
Just as expected 😄,5.0 out of 5 stars,"Got at the cheapest price of 10250Rs in the sale. I was a bit worried about getting scammed since this Processor was never sold for this low price, but guess I was in luck. The performance is just as good as expected 😄",30 November 2023,"Got cheapest price 10250Rs sale . bit worried getting scammed since Processor never sold low price , guess luck . performance good expected 😄",Future Expectations
Nice 👍,4.0 out of 5 stars,nan,18 November 2023,,Neutral
Keep in mind to definitely buy a graphics card,4.0 out of 5 stars,"This one has no graphics processing unit and hence if you use this without graphics card, the bios will not boot.Other than that this is an excellent processor",14 November 2023,"one graphics processing unit hence use without graphics card , bios boot.Other excellent processor",Positive
I am used processor good condition,5.0 out of 5 stars,I am used processor gigabyte motherboard  working properly 2.5 gh speed 12 logical processor working properly,5 November 2023,used processor gigabyte motherboard working properly 2.5 gh speed 12 logical processor working properly,Neutral
Great product from Intel..,5.0 out of 5 stars,I like Intel processors. I found this and liked it. Working like a charm. Will do overclocking and test it.Overall great product,3 November 2023,like Intel processors . found liked . Working like charm . overclocking test it.Overall great product,Competition Sentiment
Received Original Product,5.0 out of 5 stars,Good Product,21 October 2023,Good Product,Positive
Received in good condition,5.0 out of 5 stars,"Received in good condition, good packing and got it for only 11900 value for money beast .",17 October 2023,"Received good condition , good packing got 11900 value money beast .",Positive
Good processor,4.0 out of 5 stars,"After installing it, Windows 11 is giving the following description of the processor:12th Gen Intel(R) Core(TM) i5-12400F  2.50 GHzIt requires a graphics card.",13 July 2023,"installing , Windows 11 giving following description processor:12th Gen Intel ( R ) Core ( TM ) i5-12400F 2.50 GHzIt requires graphics card .",Positive
Very nice product,5.0 out of 5 stars,Value for money,5 July 2023,Value money,Positive
