Review Title,Rating,Review Body,Review Date,cleaned_body
Very very nice :),1.0 out of 5 stars,15k is very low price for an i3. 15.1k should have been a better price if the the seller intends to break the back of ultra low budget pc builders. 😌,21 October 2022,15k low price i3 . 15.1k better price seller intends break back ultra low budget pc builders . 😌
No title,No rating,No complaints. New sealed box.,18 June 2024,complaints . New sealed box .
No title,No rating,Good,17 June 2024,Good
No title,No rating,Updated a computer for the first time in 10 years.I was surprised at the evolution.I need it enough.,16 June 2024,Updated computer first time 10 years.I surprised evolution.I need enough .
No title,No rating,"with a nvme ssd its rapid, but the onboard graphics good enough for multiple displays not really gaming",1 June 2024,"nvme ssd rapid , onboard graphics good enough multiple displays really gaming"
No title,No rating,12100 is a great CPU because Intel did bust a lot of improvement since 12th gen. Good for home server.,31 May 2024,12100 great CPU Intel bust lot improvement since 12th gen. Good home server .
No title,No rating,This is a great processor that can handle just about any task imaginable. Just did a computer build and used this processor. And I have nothing bad to say about it. Would definitely use again on future builds.,22 May 2024,great processor handle task imaginable . computer build used processor . nothing bad say . Would definitely use future builds .
No title,No rating,It's a good processor for a server but I think it should be cheaper.,9 May 2024,'s good processor server think cheaper .
No title,No rating,I bought this because my i9-12900k was giving me problems.  It was more for troubleshooting.  The i3-12100 actually works better than my problematic i9-12900k that had lagging and stuttering issues that made it nearly impossible to work with Microsoft Word or Excel.  I never thought I'd see the day that an i3 would outperform an i7 or i9 but this little budget CPU works better than them.,2 May 2024,bought i9-12900k giving problems . troubleshooting . i3-12100 actually works better problematic i9-12900k lagging stuttering issues made nearly impossible work Microsoft Word Excel . never thought 'd see day i3 would outperform i7 i9 little budget CPU works better .
No title,No rating,"Great product, It's really worth the price.",14 April 2024,"Great product , 's really worth price ."
No title,No rating,"It is ideal for when you have little budget, it has good power and for basic things and games",30 March 2024,"ideal little budget , good power basic things games"
