Review Title,Rating,Review Body,Review Date,cleaned_body
Super 👌 I am already used,5.0 out of 5 stars,I am build my first pc this processor,26 March 2024,build first pc processor
Good,5.0 out of 5 stars,I love this,7 March 2024,love
Secure package,5.0 out of 5 stars,I received this product without any defects,27 January 2024,received product without defects
Good CPU in this range,4.0 out of 5 stars,Getting optimal speed without any overheating issue,15 January 2024,Getting optimal speed without overheating issue
Best in mid-range,5.0 out of 5 stars,Super,25 October 2023,Super
Graphic Card not required very good to under rs.13200,5.0 out of 5 stars,Best deal rs.13200,11 October 2023,Best deal rs.13200
Working fine with ASUS prime Z690-P WiFi D4 motherboard,5.0 out of 5 stars,Box contents: Intel core i5 12400 processor chip and CPU fan/cooler. This processor is good for daily routine tasks but for heavy load usage and gaming go for the Intel core i5 13400 or 13500 processor.,10 October 2023,Box contents : Intel core i5 12400 processor chip CPU fan/cooler . processor good daily routine tasks heavy load usage gaming go Intel core i5 13400 13500 processor .
I5,5.0 out of 5 stars,Good and efficient 👍,17 July 2023,Good efficient 👍
12000 series - very good,5.0 out of 5 stars,"Ideal for regular work.I do some basic  photo and video editing too,  without any problems.Gamers / high end users should go for higher specs if the intention is higher usage.",7 March 2023,"Ideal regular work.I basic photo video editing , without problems.Gamers / high end users go higher specs intention higher usage ."
Good,5.0 out of 5 stars,Nice,30 January 2023,Nice
Packing of product,5.0 out of 5 stars,Everything is good like product and other things but packaging of product is very bad I am very disappointed for packaging 😞😞😞😞,9 January 2023,Everything good like product things packaging product bad disappointed packaging 😞😞😞😞
Mind blowing,5.0 out of 5 stars,Very powerfull processor in this range u dont need saparate graphic card if you are on low end pc games...u have a option for gaming untill u use graphic card.....pavking is original and recieved unused favtory packed processor....,26 December 2022,powerfull processor range u dont need saparate graphic card low end pc games ... u option gaming untill u use graphic card ..... pavking original recieved unused favtory packed processor ....
Vfm product.,5.0 out of 5 stars,Performance is almost as good as 5600x and also consume less power than 5600x in gaming.Stock cooler provided is not good enough though. See if it can keep good temperature for you else get good air cooler.,3 May 2022,Performance almost good 5600x also consume less power 5600x gaming.Stock cooler provided good enough though . See keep good temperature else get good air cooler .
No title,No rating,very good,28 June 2024,good
No title,No rating,No problem j,19 June 2024,problem j
No title,No rating,It is an excellent intel manufacturing product.Generation.,7 June 2024,excellent intel manufacturing product.Generation .
No title,No rating,Great CPU for the price for a DIY NAS.,14 May 2024,Great CPU price DIY NAS .
No title,No rating,"You can practically with all games combined with a good graph like a 4070 or an RX 7700, for the price there is nothing that exceeds it",13 May 2024,"practically games combined good graph like 4070 RX 7700 , price nothing exceeds"
No title,No rating,"Worked well so far during my 4months of ownership!It still kinda sad that a similar CPU from 2018 is just 25-40% slower, which for most people is barely noticeable. That is 5y of advancement!",1 May 2024,"Worked well far 4months ownership ! still kinda sad similar CPU 2018 25-40 % slower , people barely noticeable . 5y advancement !"
No title,No rating,The CPU throttles for no reason during gameplay causing multiple crashes.I would not recommend this for gamming.,24 April 2024,CPU throttles reason gameplay causing multiple crashes.I would recommend gamming .
No title,No rating,Runs great,20 April 2024,Runs great
No title,No rating,"Great price, great performance, great product. It doesn't break the budget and pairs great with 30 series Nvidias and the 4060. The integrated graphics makes this processor great for a starter until you can get a dGPU",12 April 2024,"Great price , great performance , great product . n't break budget pairs great 30 series Nvidias 4060 . integrated graphics makes processor great starter get dGPU"
No title,No rating,The seller includes thermal and dissipator pasta The processor works perfectly!,11 April 2024,seller includes thermal dissipator pasta processor works perfectly !
